LOCATION,ENTRY,NAME,REPS
A,267,CLS21-0172;006,1
A,371,CLS21-0179;034,1
A,204,CLS21-0142;027,1
A,649,CLS21-0906;040,1
A,380,CLS21-0199;003,1
A,172,CLS21-0118;038,1
A,555,CLS21-0758;011,1
A,596,CLS21-0805;025,1
A,239,CLS21-0169;020,1
A,50,CLS21-0050;040,1
A,312,CLS21-0178;014,1
A,162,CLS21-0118;028,1
A,349,CLS21-0179;012,1
A,105,CLS21-0114;015,1
A,32,CLS21-0050;022,1
A,134,CLS21-0114;044,1
A,554,CLS21-0758;010,1
A,444,CLS21-0512;029,1
A,609,CLS21-0805;038,1
A,72,CLS21-0111;017,1
A,296,CLS21-0172;035,1
A,667,CLS21-0911;008,1
A,557,CLS21-0758;013,1
A,284,CLS21-0172;023,1
A,471,CLS21-0622;026,1
A,256,CLS21-0169;037,1
A,590,CLS21-0805;019,1
A,543,CLS21-0755;029,1
A,184,CLS21-0142;007,1
A,629,CLS21-0906;020,1
A,434,CLS21-0512;019,1
A,404,CLS21-0199;027,1
A,283,CLS21-0172;022,1
A,147,CLS21-0118;013,1
A,556,CLS21-0758;012,1
A,22,CLS21-0050;012,1
A,659,CLS21-0906;050,1
A,529,CLS21-0755;015,1
A,468,CLS21-0622;023,1
A,607,CLS21-0805;036,1
A,653,CLS21-0906;044,1
A,588,CLS21-0805;017,1
A,402,CLS21-0199;025,1
A,424,CLS21-0512;009,1
A,27,CLS21-0050;017,1
A,175,CLS21-0118;041,1
A,144,CLS21-0118;010,1
A,526,CLS21-0755;012,1
A,348,CLS21-0179;011,1
A,266,CLS21-0172;005,1
A,214,CLS21-0142;037,1
A,484,CLS21-0685;005,1
A,219,CLS21-0142;042,1
A,254,CLS21-0169;035,1
A,669,CLS21-0911;010,1
A,212,CLS21-0142;035,1
A,507,CLS21-0685;028,1
A,568,CLS21-0758;024,1
A,201,CLS21-0142;024,1
A,488,CLS21-0685;009,1
A,234,CLS21-0169;015,1
A,392,CLS21-0199;015,1
A,567,CLS21-0758;023,1
A,464,CLS21-0622;019,1
A,473,CLS21-0622;028,1
A,248,CLS21-0169;029,1
A,394,CLS21-0199;017,1
A,52,CLS21-0050;042,1
A,166,CLS21-0118;032,1
A,358,CLS21-0179;021,1
A,538,CLS21-0755;024,1
A,611,CLS21-0906;002,1
A,310,CLS21-0178;012,1
A,244,CLS21-0169;025,1
A,665,CLS21-0911;006,1
A,419,CLS21-0512;004,1
A,553,CLS21-0758;009,1
A,560,CLS21-0758;016,1
A,241,CLS21-0169;022,1
A,299,CLS21-0178;001,1
A,332,CLS21-0178;034,1
A,645,CLS21-0906;036,1
A,626,CLS21-0906;017,1
A,26,CLS21-0050;016,1
A,112,CLS21-0114;022,1
A,561,CLS21-0758;017,1
A,51,CLS21-0050;041,1
A,28,CLS21-0050;018,1
A,83,CLS21-0111;028,1
